split,images,images_with_labels,percent_images_with_labels,polygons,avg_polygons_per_image,median_polygon_area,median_point_count,suspicious_polygons,class_0_polygons,class_0_images,class_1_polygons,class_1_images,class_2_polygons,class_2_images
train,602,602,100.0,21460,35.647840531561464,0.0016721089714050522,48.0,143,3988,591,3340,594,14132,601
valid,120,120,100.0,4408,36.733333333333334,0.001559575402832046,46.0,44,752,118,707,120,2949,120
test,80,80,100.0,2787,34.8375,0.0015881856269836514,46.0,29,561,78,447,78,1779,80
